"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Footer Navigation and Content Verification","Clicking ""Search"" in the footer navigates to the Search page","0","0","1","0","0"
"","Header and Footer Navigation Links","Instagram icon links to the correct external URL","1","0","0","0","0"
"","Footer Navigation and Content Verification","Clicking ""Search"" in the footer bottom bar navigates to the Search page","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify footer About Us section contains descriptive text about Sauce Demo","0","1","0","0","0"
"","Header and Footer Navigation Links","Verify site logo and tagline are displayed in the header","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking the site logo navigates back to the homepage","0","0","1","0","0"
"","Footer Navigation and Content Verification","Clicking ""About Us"" in the footer bottom bar navigates to the About Us page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Check Out"" in the top navigation bar navigates to the Cart page","0","0","1","0","0"
"","Header and Footer Navigation Links","Verify top navigation bar displays all expected links","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify footer navigation displays all expected links","0","1","0","0","0"
"","Header and Footer Navigation Links","Clicking ""Refer a friend"" in the side navigation stays on the same page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Catalog"" in the side navigation navigates to the Products page","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify accepted payment method icons are displayed in the footer","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Sign up"" in the top navigation bar navigates to the Create Account page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""My Cart (0)"" in the top navigation bar navigates to the Cart page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""About Us"" in the side navigation navigates to the About Us page","0","0","1","0","0"
"","Footer Navigation and Content Verification","Clicking the ""Sauce"" link in the footer About Us section navigates to the Sauce external site","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Blog"" in the side navigation navigates to the News page","0","0","1","0","0"
"","Header and Footer Navigation Links","Verify side navigation displays all expected links","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify footer displays the ""Footer"" section heading","0","0","1","0","0"
"","Header and Footer Navigation Links","Twitter icon links to the correct external URL","0","0","0","1","0"
"","Add Product to Cart","Verify products are displayed on catalogue page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""About Us"" in the top navigation bar navigates to the About Us page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Wish list"" in the side navigation stays on the same page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Log In"" in the top navigation bar navigates to the Account Login page","1","0","0","0","0"
"","Footer Navigation and Content Verification","Verify footer displays the ""About Us"" section heading","0","1","0","0","0"
"","Add Product to Cart","Add product to cart from product details page","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Home"" in the side navigation navigates to the Homepage","0","0","1","0","0"
"","Header and Footer Navigation Links","Clicking ""Search"" in the top navigation bar navigates to the Search page","0","0","1","0","0"
"","Add Product to Cart","View first product details","0","0","1","0","0"
"","Header and Footer Navigation Links","Pinterest icon links to the correct external URL","1","0","0","0","0"
"","Footer Navigation and Content Verification","Verify footer bottom bar displays the correct copyright text","0","0","1","0","0"
"","Header and Footer Navigation Links","Facebook icon links to the correct external URL","1","0","0","0","0"
"","Footer Navigation and Content Verification","Clicking ""About Us"" in the footer navigates to the About Us page","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify ""Shopping Cart by Shopify"" link is displayed in the footer bottom bar","0","0","1","0","0"
"","Footer Navigation and Content Verification","Verify footer bottom bar displays bottom navigation links","0","0","1","0","0"
"","Add Product to Cart","Add first product to cart from catalogue page","0","0","1","0","0"
"","Header and Footer Navigation Links","Verify social media icons are displayed in the side navigation","1","0","0","0","0"
"","Footer Navigation and Content Verification","Clicking ""Shopping Cart by Shopify"" link navigates to the Shopify external page","1","0","0","0","0"
